created_at,id,field1,field2,heading,coordinates,type,make,model,color,active,routeId
01/22/18 05:12 PM,test1,-74.046597438,40.718285944,23.293,"(-74.046597438, 40.718285944)",snow plow,Ford,F-250,shadow black,TRUE,CBD Emergency Route 001
01/22/18 05:12 PM,test2,-74.047343619,40.718536574,26.214,"(-74.047343619, 40.718536574)",snow plow,Ford,F-250,shadow black,TRUE,CBD Emergency Route 001
01/22/18 05:12 PM,test3,-74.047367999,40.718537886,21.446,"(-74.047367999, 40.718537886)",snow plow,Ford,F-250,shadow black,TRUE,CBD Emergency Route 001
01/22/18 06:21 PM,test127,-74.050638914,40.719423196,37.522,"(-74.050638914, 40.719423196)",snow plow,Ford,F-250,shadow black,TRUE,CBD Emergency Route 001
01/22/18 06:22 PM,test128,-74.05064379,40.719449757,37.161,"(-74.05064379, 40.719449757)",snow plow,Ford,F-250,shadow black,TRUE,CBD Emergency Route 001
01/22/18 06:22 PM,test129,-74.051372106,40.719718684,30.057,"(-74.051372106, 40.719718684)",snow plow,Ford,F-250,shadow black,TRUE,CBD Emergency Route 001
01/22/18 06:22 PM,test130,-74.053244955,40.720344286,13.726,"(-74.053244955, 40.720344286)",snow plow,Ford,F-250,shadow black,TRUE,CBD Emergency Route 001
01/22/18 06:22 PM,test131,-74.053679033,40.720499253,10.595,"(-74.053679033, 40.720499253)",snow plow,Ford,F-250,shadow black,TRUE,CBD Emergency Route 001
01/22/18 06:23 PM,test132,-74.054215538,40.720696043,8.2,"(-74.054215538, 40.720696043)",snow plow,Ford,F-250,shadow black,TRUE,CBD Emergency Route 001
01/22/18 06:23 PM,test133,-74.054571583,40.720801851,8.345,"(-74.054571583, 40.720801851)",snow plow,Ford,F-250,shadow black,TRUE,CBD Emergency Route 001
01/22/18 06:23 PM,test134,-74.054571583,40.720801851,8.345,"(-74.054571583, 40.720801851)",snow plow,Ford,F-250,shadow black,TRUE,CBD Emergency Route 001
01/22/18 06:24 PM,test135,-74.054571583,40.720801851,8.345,"(-74.054571583, 40.720801851)",snow plow,Ford,F-250,shadow black,TRUE,CBD Emergency Route 001
01/22/18 06:24 PM,test136,-74.054582964,40.720803465,8.137,"(-74.054582964, 40.720803465)",snow plow,Ford,F-250,shadow black,TRUE,CBD Emergency Route 001
01/22/18 06:24 PM,test137,-74.054582964,40.720810289,8.79,"(-74.054582964, 40.720810289)",snow plow,Ford,F-250,shadow black,TRUE,CBD Emergency Route 001
